layer,indicator_id,indicator_name,lisbon_light,lisbon_confidence,lisbon_evidence,lisbon_sources,chiang_mai_light,chiang_mai_confidence,chiang_mai_evidence,chiang_mai_sources
Layer 2 · 硬约束,2.1,签证 — 90 天停留可行性,Green,high,单次申根 C 短签即可覆盖全部 90 天，无需多次入境，政策稳定。,"S-LIS-001, S-LIS-002, S-LIS-003, S-LIS-004, S-LIS-005",Green,high,当前 60 天免签 + 30 天延期路径已成熟；备份路径（旅游签）兜底。,"S-CMI-001-006（v1 visa baseline）, **S-CMI-111, S-CMI-112**（new）"
Layer 2 · 硬约束,2.2,签证 — 申请提前期 + 复杂度,Yellow,high,流程标准但材料量大，需提前 8 周启动。带两个幼儿 + 中国出生证明翻译可能再加 1-2 周。,"S-LIS-003, S-LIS-004, **S-LIS-131**",Green,high,提前期 = 0；复杂度远低于葡。,"S-CMI-001-006, **S-CMI-113**"
Layer 2 · 硬约束,2.3,签证 — 拒签率 / 接受度（中国护照 + 加拿大永居）,Green,medium,中国整体 4.6% 拒签 + 加拿大 PR 加分应低于此数；但缺中国×葡萄牙交叉精确数。,"S-LIS-001, **S-LIS-132**",Green,high,"免签机制下""拒签率""实际趋近 0。",S-CMI-001-006
Layer 2 · 硬约束,2.4,官方安全建议,Green,high,三国一致最低级 + Numbeo high safety + 风险局部化（特定电车/广场）。,"S-LIS-008, S-LIS-009, **S-LIS-133**",Green,high,"加方""高度谨慎""主要针对曼谷与南部，清迈实际治安指数高于里斯本。","S-CMI-007, S-CMI-008, **S-CMI-114**"
Layer 2 · 硬约束,2.5,犯罪 — 与家庭+幼儿相关的具体威胁,Green,high,暴力犯罪针对游客极罕见；扒窃可通过装备 + 行为习惯对冲。,"S-LIS-008, **S-LIS-133**",Green,high,Numbeo crime 指标显著优于里斯本；家庭具体威胁可对冲。,"S-CMI-007, S-CMI-008, **S-CMI-114**"
Layer 2 · 硬约束,2.6,空气质量 — PM2.5 年均,Green,high,低污染基线 + 海风稀释机制 + Numbeo 量化指标。,"S-LIS-013, S-LIS-014, **S-LIS-133, S-LIS-134**",Red,high,2024 IQAir 明确数字 + Numbeo 双重确认 + 社区一致。,"S-CMI-013-016, **S-CMI-115, S-CMI-116**"
Layer 2 · 硬约束,2.7,空气质量 — PM2.5 月度峰值（目标月份）,Green,high,月度波动小，目标月份全年优。,"S-LIS-013, S-LIS-014",Green,high,燃烧季月度峰值是 main constraint；可通过避开 2-4 月对冲。,"S-CMI-013-016, **S-CMI-115, S-CMI-116, S-CMI-117**"
Layer 2 · 硬约束,2.8,气候 — 月均温度（高 / 低）,Green,high,温度范围对幼儿友好，无极寒。,"S-LIS-010, S-LIS-011, **S-LIS-135**",Green,high,凉季宜人但仅 ~3 个月；其余月份高温需空调全时段。,"S-CMI-017, **S-CMI-118**"
Layer 2 · 硬约束,2.9,气候 — 月均降雨 + 雨天数,Green,high,冬季降雨 12-15 雨天/月 + 100+mm 不算极端，但带 2 幼儿出门需对冲（雨衣 + 室内备选）。,"**S-LIS-135**, S-LIS-010",Green,high,雨季雨量大但每天雨时段集中 1-3h，可计划。,**S-CMI-118**
Layer 2 · 硬约束,2.10,气候 — 极端天数,Green,high,🟩 confidence: **high**（10-5 月）/ 🟧 6-8 月（避免午后外出）,"**S-LIS-135, S-LIS-136**",Green,high,🟩 11-2 月 / 🟥 3-5 月（持续 ≥35°C + 燃烧季）/ 🟧 6-10 月（高湿 + 单日午后暴雨）,**S-CMI-118**
