city,area,radius_m,playgrounds,parks,grocery,pharmacies,laundry,hospitals,clinics,cafes,sample_playgrounds,sample_parks,sample_grocery,query_status
lisbon,Campo de Ourique,1000,8,15,29,19,11,0,4,57,Parque Infantil da Avenida de Ceuta; Parque Juvenil do Jardim Guerra Junqueiro; Parque Infantil da Quinta do Cabrinha; Parque Infantil do Jardim Teófilo Braga; Parque Infantil do Jardim Guerra Junqueiro,Jardim da Estrela; Geomonumento da Avenida Duarte Pacheco; Jardim da Bela Flor; Jardim da Parada; Jardim Poente; Parque Urbano da Bela Flôr; Tapada das Necessidades; Jardim Olavo Bilac,Continente Bom Dia; Flavers; Frutaria; Pingo Doce; Celeiro; Pingo Doce; My Auchan; Maçã de Adão,ok
lisbon,Campo de Ourique,5000,235,245,561,240,125,26,175,0,Parque Infantil do Parque da Juventude; Parque Infantil dos Caranguejais; Parque Infantil da Praceta Jornal de Almada; Santo Estêvão; Farol; Labirinto; Acampamento índio; Parque Infantil Filipe da Mata,Infância; Zona Coberta com Mesa; Largo das Garridas; Jardim Vasco da Gama; Jardim Afonso de Albuquerque; Jardim da Estrela; Jardim Alfredo Keil; Quinta da Alfarrobeira,Amanhecer - Super da Boavista; Ideal Bairro Azul; Coviran; Pingo Doce; My Auchan; Pingo Doce; Lidl; MistMarkt,ok
lisbon,Estrela / Lapa,1000,11,23,60,32,16,1,11,125,Parque Infantil da Praça Flores; Parque Juvenil do Jardim Guerra Junqueiro; Parque Infantil do Jardim Marcelino Mesquita; Parque Infantil França Borges; Parque Infantil do Jardim Teófilo Braga; Parque Infantil do Jardim Guerra Junqueiro; Parque Infantil do Jardim Elisa Baptista de Sousa Pedroso,Jardim da Estrela; Jardim Fialho de Almeida; Jardim Botânico de Lisboa; Largo Agostinho da Silva; Jardim Elisa Baptista de Sousa Pedroso; Praça da Constituição de 1976; Jardim das Amoreiras (Jardim Marcelino Mesquita); Jardim de Santos,Continente Bom Dia; Auchan; Pingo Doce; My Auchan; Pingo Doce; My Auchan; Flavers; Frutaria,ok
lisbon,Estrela / Lapa,5000,223,209,548,228,123,25,178,0,Parque Infantil do Parque da Juventude; Parque Infantil dos Caranguejais; Parque Infantil da Praceta Jornal de Almada; Santo Estêvão; Farol; Labirinto; Acampamento índio; Parque Infantil Filipe da Mata,Infância; Jardim Vasco da Gama; Jardim Afonso de Albuquerque; Jardim da Estrela; Jardim Alfredo Keil; Quinta da Alfarrobeira; Jardim Fialho de Almeida; Jardim do Torel,Amanhecer - Super da Boavista; Ideal Bairro Azul; Coviran; Pingo Doce; My Auchan; Lidl; MistMarkt; Pingo Doce,ok
lisbon,Parque das Nacoes,1000,6,13,2,5,4,2,11,28,"Canto da Música; Parque Infantil do Largo Ramada Curto, Bairro Quinta das Laranjeiras",Jardim das Musas; Jardim do Cabeço das Rolas; Chillout Garden; Amphitheatre Garden; Central Garden; Jardim das Ondas; Jardim Garcia de Orta,BioIno; Mr Lin,ok
lisbon,Parque das Nacoes,5000,151,122,157,95,57,8,47,0,Parque Infantil do Bairro dos Lóios; Parque Infantil do Parque Edgar Sampaio Fontes; Parque Infantil da Praça de Bilene; Parque Infantil da Rua José Duro; Parque Infantil da Rua Fernando Mauricio; Parque Infantil do Bairro do Armador; Parque Infantil da Rua Pedro de Azevedo; Parque Infantil do PER 10-Malha 25,Infância; Jardim da Irmã Lucia;Jardim Irmã Lúcia; Parque Oeste; Quinta das Conchas; Parque da Mata de Madre de Deus; Jardim da Quinta Alegre; Praça Francisco de Morais; Jardim da Praça Pasteur,Lidl; MistMarkt; My Auchan; Amanhecer - Super do Prior; Pingo Doce; Pingo Doce; Pingo Doce; Continente Bom Dia,ok
lisbon,Belem / Restelo,1000,4,20,9,6,1,2,0,19,Parque Infantil do Jardim Vasco da Gama; Parque Infantil da Rua Duarte Pacheco Pereira,Jardim Vasco da Gama; Jardim Fernanda de Castro; Jardim António Viana Barreto; Jardim do Museu de Etnologia; Praça de Goa; Praça de Damão; Praça de Dio; Praça de Malaca,Pingo Doce; Jorge; Tangerina; Lidl; Nogal do Restelo; Pomar de Belém; Frutaria Restelo; My Auchan,ok
lisbon,Belem / Restelo,5000,140,163,143,73,40,9,43,0,Parque Infantil da Avenida de Ceuta; Parque Infantil da Praça da Armada; Parque Infantil do Jardim Avelar Brotero; Parque Infantil da Quinta da Bela Flor; Parque Infantil do Parque da Pedra; Parque Infantil Lisboa Ocidental; Parque Infantil da Encosta do Gravato (Aquaparque); Parque Infantil do Bairro 2 de Maio,Zona Coberta com Mesa; Jardim Vasco da Gama; Jardim Afonso de Albuquerque; Jardim da Estrela; Parque Infantil do Moinho; Jardim Fernando Pessoa; Quinta do Salles; Quintal Desportivo,Amanhecer - Super da Boavista; Coviran; Pingo Doce; Pingo Doce; 24H; Pingo Doce; Pingo Doce & Go; Lidl,ok
chiang_mai,Nimman / Santitham,1000,0,6,32,17,10,4,3,170,,สำนักส่งเสริมศิลปวัฒนธรรม มหาวิทยาลัยเชียงใหม่,7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; Green Store; 7-Eleven; TESCO Lotus Express; 7-Eleven,ok
chiang_mai,Nimman / Santitham,5000,17,89,260,130,114,31,32,0,สนามเด็กเล่น,site; โต๊ะสาธารณะ; Suan ChangPuak Park; สวนบวกหาด; สวนรุกขชาติห้วยแก้ว; ลานวิศวะรวมใจ; สำนักส่งเสริมศิลปวัฒนธรรม มหาวิทยาลัยเชียงใหม่; ลานควายยิ้ม,Rimping Supermarket; Rimping Supermarket; 7-Eleven; Lotus's; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven,ok
chiang_mai,Old City outer edge,1000,1,6,20,13,16,4,4,76,,สวนบวกหาด; สวนสาธารณะป้อมหายยา; สวนกาญจนาภิเษก,7-Eleven; Lotus's go fresh; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; ร้านน้องโบ,ok
chiang_mai,Old City outer edge,5000,19,99,299,135,126,32,33,0,สนามเด็กเล่น; สนามเด็กเล่น,Wiangkumkam; site; โต๊ะสาธารณะ; Suan ChangPuak Park; สวนบวกหาด; สวนรุกขชาติห้วยแก้ว; ลานวิศวะรวมใจ; สำนักส่งเสริมศิลปวัฒนธรรม มหาวิทยาลัยเชียงใหม่,Rimping Supermarket; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; Rimping Supermarket; 7-Eleven,ok
chiang_mai,Hang Dong,1000,1,1,7,0,0,1,0,2,,,7-Eleven; Lotus's go fresh; 7-Eleven; CP Freshmart; 7-Eleven; ยุภาการค้า; เจ๊อัมพร ตลาดหางดง,ok
chiang_mai,Hang Dong,5000,6,14,30,4,1,1,1,0,,Muban Park 2; Muban Park 1; Muban Park 3,7-Eleven; 7-Eleven; 7-Eleven; Lotus's go fresh; 7-Eleven; 7-Eleven; CP Freshmart; Rimping Supermarket,ok
chiang_mai,San Sai,1000,0,1,2,0,0,0,0,2,,,7-Eleven,ok
chiang_mai,San Sai,5000,4,10,48,17,4,1,5,0,Ban Phimuk Playground,Ban Phimuk 1 Community Park; KK Park,Rimping Supermarket; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; 7-Eleven; Lotus's go fresh,ok
