dimension,sub_dimension,lisbon_status,lisbon_confidence,lisbon_key_sources,chiang_mai_status,chiang_mai_confidence,chiang_mai_key_sources,notes,next_verification
Visa/legal stay,90-day model,Yellow,High,"LIS_VISA_01;EU_VISA_01",Yellow,Medium,"TH_VISA_01;TH_VISA_02;TH_VISA_03;TH_DTV_01","Both workable only after passport-specific verification; Thailand policy more volatile in 2026","Run official eligibility per family member"
Official safety,general advisory,Green,High,"CAN_PT_01;US_PT_01",Yellow,High,"CAN_TH_01;US_TH_01;UK_TH_01","Lisbon lower advisory; Thailand caution not Chiang Mai-specific but air/traffic matter","Check advisories near booking date"
Climate suitability,target months,Green-Yellow,Medium,LIS_CLIM_01,Seasonal Yellow-Red,High,CM_CLIM_01,"Lisbon broad season fit; Chiang Mai best Nov-Jan; March-April problematic","Choose exact 3-month window"
Air quality,child outdoor risk,Green,Medium,"LIS_AIR_01;LIS_AIR_02",Red in Mar-Apr; Yellow otherwise,High,"CM_AIR_01;CM_AIR_02;CM_AIR_03","Air is decisive red flag for Chiang Mai smoke season","Check PM2.5 history and current forecasts"
Housing feasibility,3-month family rental,Yellow,Medium,LISH_01-LISH_10,Green-Yellow,Medium,CMH_01-CMH_10,"Lisbon higher cost; Chiang Mai easier supply but air/transport-dependent","Contact 10 listings per city"
Pediatric healthcare,urgent and routine path,Green-Yellow,Medium,"LIS_HEALTH_01;LIS_HEALTH_02;LIS_HEALTH_03;LIS_HEALTH_04",Green,High,"CM_HEALTH_01;CM_HEALTH_02;CM_HEALTH_03","Chiang Mai private pediatric path clearer; Lisbon has strong but more mixed public/private path","Call hospitals for English and insurance"
Daily outdoor child activity,repeatable play,Green-Yellow,Medium,"LIS_CHILD_04;LIS_CHILD_05;LIS_CHILD_08;LIS_CHILD_09",Yellow-Green by area and season,Medium,"CM_CHILD_01;CM_CHILD_02;CM_CHILD_08","Lisbon strongest in Parque das Nacoes/Estrela; Chiang Mai strongest Hang Dong but car-dependent","Map 1km daily routes"
Nature/open-ended play,weekly nature,Green,Medium,"LIS_CHILD_07;LIS_MOB_01",Green outside smoke season,Medium,"CM_CHILD_02;CM_CHILD_09","Chiang Mai nature is stronger but less low-friction; Lisbon nature more urban/coastal","Verify transport burden"
Indoor fallback,bad weather heat smoke,Yellow,Medium,"LIS_CHILD_01;LIS_CHILD_02;LIS_CHILD_06;LIS_CHILD_07",Green-Yellow,Medium,"CM_CHILD_04;CM_CHILD_07;CM_CHILD_11","Chiang Mai has kids cafe ecosystem but smoke-season air purification unknown","Confirm air purification and age limits"
Structured child activities,weekly rhythm,Yellow,Medium,"LIS_CHILD_02;LIS_CHILD_10;LIS_COMM_01",Yellow,Medium,"CM_CHILD_09;CM_CHILD_10;CM_CHILD_05","Both possible; short-term acceptance unknown","Message providers"
Parent relief / childcare,optional relief,Gray-Low,Low,"LIS_CHILD_01;LIS_COMM_01",Yellow-Low,Low,"CM_CHILD_09;CM_CHILD_12","Not reliable enough to depend on; SandCastle 4+ and Chiang Mai community signals help","Ask about drop-off and vetting"
Walkability / mobility,no car daily life,Green-Yellow,Medium,"LIS_MOB_01;LIS_MOB_02;LIS_MOB_05",Yellow-Red,Medium,"CM_MOB_01;CM_MOB_02;CM_MOB_03","Lisbon no-car stronger; Chiang Mai area-dependent and car-seat uncertain","Test routes and ride-hailing"
Daily logistics,grocery pharmacy laundry,Green-Yellow,Medium,"LISH_01-LISH_10;LIS_MOB_01",Yellow-Green by area,Medium,"CMH_01-CMH_10;CM_MOB_04","Both feasible if housing is chosen correctly","Map 1km services per listing"
Culture experience,everyday culture,Green,Medium,"LIS_CHILD_07;LIS_MOB_01",Green,Medium,"CM_CHILD_09;CM_COMM_03","Lisbon European urban culture; Chiang Mai stronger cultural contrast","Avoid sightseeing-only schedule"
Nature experience,low-friction nature,Green-Yellow,Medium,"LIS_CHILD_07;LIS_MOB_01",Green-Yellow seasonal,Medium,"CM_CHILD_02;CM_CHILD_09;CM_AIR_02","Chiang Mai nature higher upside but smoke/transport-sensitive","Verify target season"
Community support,parent expat signals,Green-Yellow,Medium,"LIS_COMM_01;LIS_COMM_02;LIS_COMM_03",Green-Yellow,Medium,"CM_COMM_01;CM_COMM_02;CM_COMM_03;CM_CHILD_12","Both have community signals; short-stay integration unknown","Join groups and ask targeted questions"
Main failure modes,most likely breakdown,Yellow,Medium,"EU_VISA_01;LISH_01-LISH_10;LIS_MOB_05",Red seasonal,High,"CM_AIR_01;CM_AIR_02;CM_MOB_01","Lisbon fails by cost/logistics; Chiang Mai fails by air/transport if wrong season","Choose season before city"
Overall first-base suitability,cautious recommendation,Green-Yellow,Medium,"EU_VISA_01;CAN_PT_01;LIS_CLIM_01;LIS_CHILD_04",Yellow-Green only Nov-Jan; Red Mar-Apr,High,"CM_AIR_01;CM_AIR_02;CM_HEALTH_01;CM_CHILD_01","Lisbon more stable as first base if budget and visa work; Chiang Mai better value but season-critical","Verify legal stay and exact months"
