source_id,city,area,layer,dimension,source_type,title,url,author_or_org,published_date,accessed_date,language,relevance,confidence,notes
S-LIS-001,lisbon,,hard_constraints,visa,official,Schengen Visa - Consulate General of Portugal in Toronto,https://toronto.consuladoportugal.mne.gov.pt/en/consular-matters/visa/schengen-visa-en,Portuguese MFA Toronto,2026-05,2026-05-28,en,high,high,visa-canada-cn-passport
S-LIS-002,lisbon,,hard_constraints,visa,official,Short-stay calculator (90/180 rule) - European Commission,https://home-affairs.ec.europa.eu/policies/schengen/border-crossing/short-stay-calculator_en,European Commission,2026,2026-05-28,en,high,high,90-180-rule
S-LIS-003,lisbon,,hard_constraints,visa,official,Welcome to VFS Global Canada - Portugal,https://visa.vfsglobal.com/prt/en/can,VFS Global,2026,2026-05-28,en,high,high,vfs-canada
S-LIS-004,lisbon,,hard_constraints,visa,official,Short Stay Visa - Required Documentation - vistos.mne.gov.pt,https://vistos.mne.gov.pt/en/short-stay-visas-schengen/required-documentation/short-stay-visa,Portuguese MFA,2026,2026-05-28,en,high,high,visa-docs
S-LIS-005,lisbon,,hard_constraints,visa,official,Visa - Consular Services - Embassy of Portugal in Canada (Ottawa),https://otava.embaixadaportugal.mne.gov.pt/en/consular-section/consular-services/visa,Portuguese Embassy Canada,2026,2026-05-28,en,high,high,visa-ottawa
S-LIS-006,lisbon,,hard_constraints,visa,blog,Portugal D8 Digital Nomad Visa 2026 - Citizen Remote,https://citizenremote.com/visas/portugal-digital-nomad-visa/,Citizen Remote,2026,2026-05-28,en,medium,medium,d8-overview
S-LIS-007,lisbon,,hard_constraints,visa,blog,Portugal D7 Visa Guide 2026 - Global Citizen Solutions,https://www.globalcitizensolutions.com/portugal-d7-visa/,Global Citizen Solutions,2026,2026-05-28,en,medium,medium,d7-overview
S-LIS-008,lisbon,,hard_constraints,safety,official,Travel advice and advisories for Portugal,https://travel.gc.ca/destinations/portugal,Government of Canada,2026-05-26,2026-05-28,en,high,high,canada-portugal-advisory
S-LIS-009,lisbon,,hard_constraints,safety,official,Portugal Safety and Security - GOV.UK FCDO,https://www.gov.uk/foreign-travel-advice/portugal/safety-and-security,UK FCDO,2026,2026-05-28,en,high,high,uk-fcdo-portugal
S-LIS-010,lisbon,,hard_constraints,climate,blog,Lisbon climate - climatestotravel.com,https://www.climatestotravel.com/climate/portugal/lisbon,Climates to Travel,2026,2026-05-28,en,high,medium,climate-monthly
S-LIS-011,lisbon,,hard_constraints,climate,blog,Lisbon Climate Weather Spark,https://weatherspark.com/y/32022/Average-Weather-in-Lisbon-Portugal-Year-Round,Weather Spark,2026,2026-05-28,en,high,medium,weather-spark
S-LIS-012,lisbon,,hard_constraints,climate,blog,Climate of Lisbon - Wikipedia,https://en.wikipedia.org/wiki/Climate_of_Lisbon,Wikipedia,2026,2026-05-28,en,medium,medium,wiki-climate
S-LIS-013,lisbon,,hard_constraints,air,platform,Lisbon Air Quality Index (AQI) - IQAir,https://www.iqair.com/portugal/lisbon,IQAir,2026-05,2026-05-28,en,high,medium,iqair-lisbon
S-LIS-014,lisbon,,hard_constraints,air,platform,Lisbon AQI - aqicn.org,https://aqicn.org/city/lisbon/,WAQI,2026,2026-05-28,en,medium,medium,aqicn
S-LIS-015,lisbon,,hard_constraints,healthcare,official,Hospital Dona Estefânia - ULSSJ,https://www.ulssjose.min-saude.pt/hospital-dona-estefania/,SNS / ULSSJ,2026,2026-05-28,pt,high,high,public-pediatric
S-LIS-016,lisbon,,hard_constraints,healthcare,blog,Hospital de Dona Estefânia - Wikipedia,https://en.wikipedia.org/wiki/Hospital_de_Dona_Estef%C3%A2nia,Wikipedia,2025,2026-05-28,en,medium,medium,wiki-estefania
S-LIS-017,lisbon,parque-das-nacoes,hard_constraints,healthcare,official,Hospital CUF Descobertas - Lisboa,https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-descobertas-lisboa,CUF,2026,2026-05-28,pt,high,high,cuf-descobertas
S-LIS-018,lisbon,,hard_constraints,healthcare,official,Hospital Lusíadas Lisboa - Pediatrics,https://www.lusiadas.pt/en/hospitals-clinics/hospital-lusiadas-lisboa/specialties/pediatrics,Lusíadas Saúde,2026,2026-05-28,en,high,high,lusiadas-ped
S-LIS-019,lisbon,,hard_constraints,healthcare,official,Hospital da Luz Lisboa - Urgent Care 24h,https://www.hospitaldaluz.pt/lisboa/en/services/urgent-care-24-hours,Hospital da Luz,2026,2026-05-28,en,high,high,hluz-24h
S-LIS-020,lisbon,,hard_constraints,healthcare,blog,Healthcare in Portugal for Travellers and Tourists - Mobidoctor,https://www.mobidoctor.eu/blog/healthcare-in-portugal-for-travellers-and-tourists,Mobidoctor,2025,2026-05-28,en,medium,medium,tourist-healthcare
S-LIS-021,lisbon,,hard_constraints,healthcare,official,Migrants Healthcare in Portugal - gov.pt,https://www2.gov.pt/en/migrantes-viver-e-trabalhar-em-portugal/migrantes-cuidados-de-saude-em-portugal,Portugal Government,2026,2026-05-28,en,high,high,sns-foreigners
S-LIS-022,lisbon,,hard_constraints,healthcare,blog,Where to Find English-Speaking Doctors in Lisbon - Taxi Bambino,https://www.taxibambino.com/single-post/where-to-find-english-speaking-doctors-in-lisbon-and-how-to-get-there,Taxi Bambino,2025,2026-05-28,en,medium,medium,english-doctors
S-LIS-023,lisbon,,hard_constraints,healthcare,blog,Alegria Medical Centre - International Clinic Lisbon,https://www.alegriamed.com/en/,Alegria Medical Centre,2026,2026-05-28,en,medium,medium,intl-clinic
S-LIS-024,lisbon,,hard_constraints,seismic,news,Earthquake Risks Understanding the threat - The Portugal News,https://www.theportugalnews.com/news/2025-08-23/earthquake-risks-understanding-the-threat-and-preparedness/602554,The Portugal News,2025-08-23,2026-05-28,en,high,medium,quake-news
S-LIS-025,lisbon,,hard_constraints,seismic,academic,Probabilistic Seismic Hazard Assessment of Lisbon - MDPI,https://www.mdpi.com/2624-795X/5/3/47,MDPI,2024,2026-05-28,en,high,high,seismic-academic
S-LIS-026,lisbon,campo-de-ourique,life_operability,housing,blog,Lisbon Neighborhood Guide - Campo de Ourique - portugal.com,https://www.portugal.com/moving-to-portugal/lisbon-neighborhood-guide-campo-de-ourique/,Portugal.com,2025,2026-05-28,en,medium,medium,coque-guide
S-LIS-027,lisbon,campo-de-ourique,life_operability,housing,blog,Campo de Ourique A Neighborhood Worth Watching - Wherever Family,https://whereverfamily.com/campo-de-ourique-a-neighborhood-worth-watching/,Wherever Family,2024,2026-05-28,en,medium,medium,coque-family
S-LIS-028,lisbon,parque-das-nacoes,life_operability,housing,blog,Best of Parque das Nações - Rent Remote,https://rentremote.com/travel-guide/lisbon/neighborhoods/parque-das-nacoes,Rent Remote,2025,2026-05-28,en,medium,medium,pdn-guide
S-LIS-029,lisbon,parque-das-nacoes,life_operability,housing,blog,Parque das Nações Lisbon Independent Guide,https://lisbonlisboaportugal.com/lisbon-sights/Parque-Nacoes-lisbon.html,LisbonLisboaPortugal,2026,2026-05-28,en,medium,medium,pdn-tourist-guide
S-LIS-030,lisbon,estrela-lapa,life_operability,housing,blog,Estrela Neighborhood Guide - Now in Portugal,https://nowinportugal.com/estrela-lisbon-neighborhood-guide/,Now in Portugal,2025,2026-05-28,en,medium,medium,estrela-guide
S-LIS-031,lisbon,estrela-lapa,life_operability,housing,blog,Lapa Area Guide - Casafari,https://www.casafari.com/area-guide/portugal/lisbon/estrela-property/lapa-property/,Casafari,2025,2026-05-28,en,medium,medium,lapa-guide
S-LIS-032,lisbon,belem-restelo,life_operability,housing,blog,Restelo and Belém - Savills Portugal,https://en.savills.pt/residential/bairros/restelo-and-belem.aspx,Savills Portugal,2025,2026-05-28,en,medium,medium,belem-restelo
S-LIS-033,lisbon,alvalade,life_operability,housing,blog,Explore Alvalade Lisbon - Rent Remote,https://rentremote.com/travel-guide/lisbon/neighborhoods/alvalade-lisbon,Rent Remote,2025,2026-05-28,en,medium,medium,alvalade-guide
S-LIS-034,lisbon,areeiro,life_operability,housing,blog,Areeiro Lisbon Neighborhood Guide - Seed Real Estate,https://www.seedrealestate.pt/resources/neighbourhood-guide/areeiro,Seed Real Estate,2025,2026-05-28,en,medium,medium,areeiro-guide
S-LIS-035,lisbon,cascais,life_operability,housing,blog,Exploring Cascais Portugal with Kids - Ciao Bambino,https://ciaobambino.com/cascais-portugal-with-kids,Ciao Bambino,2025,2026-05-28,en,medium,medium,cascais-kids
S-LIS-036,lisbon,campo-de-ourique,life_operability,housing,platform,Furnished 2BR in Campo de Ourique - Blueground (Rua Maria Pia 1508488P),https://www.theblueground.com/p/furnished-apartments/lis-1508488p,Blueground,2026,2026-05-28,en,high,medium,blueground-rua-maria-pia
S-LIS-037,lisbon,campo-de-ourique,life_operability,housing,platform,Furnished 2BR in Campo de Ourique - Blueground (Rua Silva Carvalho 1288615P 98m²),https://www.theblueground.com/p/furnished-apartments/lis-1288615p,Blueground,2026,2026-05-28,en,high,medium,blueground-silva-carvalho
S-LIS-038,lisbon,campo-de-ourique,life_operability,housing,platform,Furnished 2BR in Campo de Ourique - Blueground (Rua do Sol ao Rato 1288597P 90m² 1F elev.),https://www.theblueground.com/p/furnished-apartments/lis-1288597p,Blueground,2026,2026-05-28,en,high,medium,blueground-sol-ao-rato
S-LIS-039,lisbon,parque-das-nacoes,life_operability,housing,platform,Idealista Parque das Nações T2 rentals listing page,https://www.idealista.pt/en/arrendar-casas/lisboa/parque-das-nacoes/com-apartamentos/,Idealista,2026,2026-05-28,en,medium,low,idealista-pdn-page
S-LIS-040,lisbon,belem-restelo,life_operability,housing,platform,Idealista Belém T2 furnished rentals page,https://www.idealista.pt/en/arrendar-casas/lisboa/belem/com-equipamento_mobilado/,Idealista,2026,2026-05-28,en,medium,low,idealista-belem-page
S-LIS-041,lisbon,estrela-lapa,life_operability,housing,platform,Idealista Estrela T2 furnished rentals page,https://www.idealista.pt/en/arrendar-casas/lisboa/estrela/com-t2-equipamento_mobilado/,Idealista,2026,2026-05-28,en,medium,low,idealista-estrela-page
S-LIS-042,lisbon,,life_operability,housing,blog,Updated Rents in Lisbon (2026) - Investropa,https://investropa.com/blogs/news/lisbon-rents,Investropa,2026,2026-05-28,en,medium,medium,rents-summary
S-LIS-043,lisbon,,life_operability,housing,blog,Furnished Apartments for Rent in Campo de Ourique - Blueground listing,https://www.theblueground.com/furnished-apartments-lisbon-pt/a/campo-de-ourique/f/bedrooms_2,Blueground,2026,2026-05-28,en,high,medium,blueground-coque-list
S-LIS-044,lisbon,,life_operability,housing,blog,Lisbon with the Baby Insights Tips and Experiences,https://www.katytravelblog.com/en/post/lisbonbaby2022-1,Katy Travel Blog,2022,2026-05-28,en,medium,medium,baby-blog
S-LIS-045,lisbon,,life_operability,housing,blog,Lisbon with children Baby carrier or buggy - We Heart Lisbon,https://www.weheartlisbon.com/en/lisbon-with-kids/baby-carrier-or-buggy,We Heart Lisbon,2025,2026-05-28,en,medium,medium,stroller-blog
S-LIS-046,lisbon,,life_operability,housing,community,How common is heating systems in Portuguese apartments - Expat.com forum,https://www.expat.com/forum/viewtopic.php?id=1020503,Expat.com forum,2024,2026-05-28,en,medium,low,heating-forum
S-LIS-047,lisbon,,life_operability,housing,blog,Mold housing problems in Portugal - AnchorLess,https://anchorless.io/blog/living/mold-problem-in-portugal,AnchorLess,2025,2026-05-28,en,medium,medium,mold-blog
S-LIS-048,lisbon,,life_operability,housing,blog,Seven Hacks to Survive the Winter in Lisbon - Atlas Lisboa,https://www.atlaslisboa.com/seven-hacks-to-survive-the-winter-in-lisbon/,Atlas Lisboa,2024,2026-05-28,en,medium,medium,winter-hacks
S-LIS-049,lisbon,,life_operability,child_activity,blog,Top kids playgrounds in Lisbon - One Tiny Leap,https://onetinyleap.com/en/family-travel-portugal-lisbon-playgrounds/,One Tiny Leap,2025,2026-05-28,en,medium,medium,playgrounds
S-LIS-050,lisbon,,life_operability,child_activity,blog,Best kids playgrounds in Lisbon - Lets go baby,https://www.letsgobaby.pt/blogs/visit-portugal-with-kids/kids-playgrounds-in-lisbon,Lets Go Baby,2025,2026-05-28,en,medium,medium,playgrounds2
S-LIS-051,lisbon,,life_operability,child_activity,blog,Best Lisbon Parks for Children - Savvy Family Travels,https://www.savvyfamilytravels.com/best-lisbon-parks-for-children/,Savvy Family Travels,2024,2026-05-28,en,medium,medium,parks-children
S-LIS-052,lisbon,,life_operability,child_activity,blog,Top 7 Things To Do With Kids in Lisbon When it Rains - One Tiny Leap,https://onetinyleap.com/family-travel-portugal-top-things-kids-lisbon-rains/,One Tiny Leap,2024,2026-05-28,en,medium,medium,rainy-day
S-LIS-053,lisbon,,life_operability,child_activity,blog,SandCastle Indoor Playground Family Cafe Coworking,https://sandcastle.pt/,SandCastle Lisboa,2026,2026-05-28,en,high,medium,sandcastle
S-LIS-054,lisbon,parque-das-nacoes,life_operability,child_activity,official,Oceanário de Lisboa - Tripadvisor Reviews,https://www.tripadvisor.com/Attraction_Review-g189158-d195144-Reviews-Oceanario_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,Tripadvisor,2026,2026-05-28,en,medium,medium,oceanario
S-LIS-055,lisbon,parque-das-nacoes,life_operability,child_activity,blog,Pavilhão do Conhecimento Lisbon family review,https://lisbonlisboaportugal.com/lisbon-tour/lisbon-rainy-wet-rain-what-to-do.html,LisbonLisboaPortugal,2026,2026-05-28,en,medium,medium,pavilhao
S-LIS-056,lisbon,monsanto,life_operability,child_activity,blog,Parque dos Indios Monsanto Lisbon family,https://www.yelp.com/biz/parque-dos-indios-lisboa,Yelp,2025,2026-05-28,en,medium,medium,parque-indios
S-LIS-057,lisbon,estrela,life_operability,child_activity,review,Jardim Da Estrela Park Tripadvisor reviews,https://www.tripadvisor.com/Attraction_Review-g189158-d6514279-Reviews-Jardim_Da_Estrela_Park-Lisbon_Lisbon_District_Central_Portugal.html,Tripadvisor,2026,2026-05-28,en,medium,medium,estrela-tripadv
S-LIS-058,lisbon,,community_feedback,social,community,Lisbon for Parents - Meyouand Lisbon,https://meyouandlisbon.com/lisbon-for-parents-families-lisbon/,Me You and Lisbon,2024,2026-05-28,en,medium,medium,lfp-blog
S-LIS-059,lisbon,,community_feedback,social,community,Lisbon Parents and Kids - Meetup,https://www.meetup.com/lisbonparents/,Meetup,2026,2026-05-28,en,medium,medium,meetup-parents
S-LIS-060,lisbon,,community_feedback,social,community,The Lisbon Expat Meetup Group - Facebook,https://www.facebook.com/groups/tlemg/,Facebook Group,2026,2026-05-28,en,medium,low,fb-tlemg
S-LIS-061,lisbon,,community_feedback,social,community,Expat families in Portugal - Facebook group,https://www.facebook.com/groups/expatinportugal/,Facebook Group,2026,2026-05-28,en,medium,low,fb-expat-families
S-LIS-062,lisbon,,community_feedback,social,community,Lisbon Cascais Expats Friends - Meetup,https://www.meetup.com/lisbon-cascais-expats-friends/,Meetup,2026,2026-05-28,en,medium,low,meetup-lcef
S-LIS-063,lisbon,,community_feedback,blog,blog,Lisbon expat guide families - Dispatches Europe,https://dispatcheseurope.com/lisbon-expat-guide-pt-2-the-best-neighbourhoods-for-families/,Dispatches Europe,2025,2026-05-28,en,medium,medium,dispatches-families
S-LIS-064,lisbon,,community_feedback,blog,blog,Most Child-Friendly Neighborhoods in Lisbon - Lx.us Portugal,https://www.lxusportugal.com/blog-lxusportugal/most-child-friendly-neighborhoods-in-lisbon,Lx.us Portugal,2025,2026-05-28,en,medium,medium,lxus-neighborhoods
S-LIS-065,lisbon,,community_feedback,vlog,video,Walking with Kids at Monteiro-Mor Park Lisbon Family Vlog - By Suzike,https://bysuzike.com/alking-with-kids-monteiro-mor-park/,By Suzike (YouTube/blog),2025-02,2026-05-28,en,medium,low,vlog-suzike
